game_id,configuration_file,round_id,trial_index,block,target,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,phase,description,time_to_message,sec_until_click,response,correct,context_id
G069,ref2_pilot5_binned_threads_15_phase2_3.json,R00101,25,4.0,page6-113.svg,0.9805555555555556,high,switch-bidirectional,189,55,"['page7-17.svg', 'page8-63.svg', 'page4-19.svg', 'page4-247.svg', 'page5-122.svg', 'page6-113.svg', 'page7-44.svg', 'page5-68.svg', 'page8-180.svg', 'page4-157.svg']",2,['2 OVERlapping diamonds with triangle at the top'],[19],3.0,page6-113.svg,True,15
G057,ref2_pilot5_binned_threads_19_phase2_3.json,R03976,50,0.0,page5-128.svg,0.9925925925925926,high,single-utterance-unidirectional,254,148,"['page8-165.svg', 'page5-85.svg', 'page5-57.svg', 'page2-112.svg', 'page5-165.svg', 'page1-51.svg', 'page2-61.svg', 'page5-220.svg', 'page5-128.svg', 'page6-13.svg']",3,looks like a worm with a square head (head is on the left),26.0,,,,19
G057,ref2_pilot5_binned_threads_19_phase2_3.json,R02129,42,0.0,page1-51.svg,0.9722222222222224,high,single-utterance-unidirectional,148,254,"['page8-165.svg', 'page5-85.svg', 'page5-57.svg', 'page2-112.svg', 'page5-165.svg', 'page1-51.svg', 'page2-61.svg', 'page5-220.svg', 'page5-128.svg', 'page6-13.svg']",3,chevron,7.0,,,,19
G131,ref2_pilot5_binned_threads_4_phase2_3.json,R05796,5,0.0,page8-199.svg,0.8,low,switch-bidirectional,32,243,"['page4-229.svg', 'page1-186.svg', 'page5-122.svg', 'page4-135.svg', 'page2-26.svg', 'page9-36.svg', 'page6-113.svg', 'page8-199.svg', 'page8-222.svg', 'page3-38.svg']",2,['looks like stairs'],[13],1.0,page8-199.svg,True,4
G039,ref2_pilot5_binned_threads_8_phase2_3.json,R06973,37,0.0,page1-14.svg,0.961111111111111,high,single-utterance-unidirectional,260,107,"['page9-15.svg', 'page1-132.svg', 'page4-166.svg', 'page7-8.svg', 'page5-58.svg', 'page5-71.svg', 'page4-108.svg', 'page5-134.svg', 'page2-59.svg', 'page1-14.svg']",3,pyramid,6.0,,,,8
G039,ref2_pilot5_binned_threads_8_phase2_3.json,R02857,47,0.0,page7-17.svg,0.977777777777778,high,single-utterance-unidirectional,260,107,"['page5-128.svg', 'page7-126.svg', 'page3-8.svg', 'page6-34.svg', 'page1-88.svg', 'page2-170.svg', 'page7-17.svg', 'page5-56.svg', 'page1-14.svg', 'page3-20.svg']",3,boot,5.0,,,,8
G014,ref2_pilot5_binned_threads_2_phase2_3.json,R04167,50,0.0,page8-63.svg,0.8388888888888889,low,single-utterance-unidirectional,158,217,"['page5-85.svg', 'page3-124.svg', 'page6-16.svg', 'page6-149.svg', 'page5-87.svg', 'page7-45.svg', 'page8-8.svg', 'page5-172.svg', 'page7-10.svg', 'page8-63.svg']",3,whale swimming down and to left,21.0,,,,2
G067,ref2_pilot5_binned_threads_1_phase2_3.json,R05728,36,0.0,page6-179.svg,0.8925925925925926,high,single-utterance-unidirectional,192,73,"['page1-75.svg', 'page1-36.svg', 'page8-166.svg', 'page1-10.svg', 'page8-68.svg', 'page9-38.svg', 'page4-157.svg', 'page4-11.svg', 'page8-240.svg', 'page6-179.svg']",3,man watering the ground,20.0,,,,1
G057,ref2_pilot5_binned_threads_19_phase2_3.json,R07042,10,1.0,page1-22.svg,0.977777777777778,high,switch-bidirectional,148,254,"['page5-80.svg', 'page6-168.svg', 'page1-22.svg', 'page7-59.svg', 'page2-112.svg', 'page8-169.svg', 'page3-24.svg', 'page5-58.svg', 'page3-99.svg', 'page3-193.svg']",2,['the one you said before was like a tongue sticking out'],[15],2.0,page1-22.svg,True,19
G067,ref2_pilot5_binned_threads_1_phase2_3.json,R00311,18,2.0,page7-191.svg,1.0,high,switch-bidirectional,192,73,"['page6-181.svg', 'page6-143.svg', 'page5-184.svg', 'page3-198.svg', 'page7-191.svg', 'page5-135.svg', 'page7-147.svg', 'page8-164.svg', 'page1-25.svg', 'page9-38.svg']",2,['letter r blotched out'],[9],4.0,page7-191.svg,True,1
G131,ref2_pilot5_binned_threads_4_phase2_3.json,R03703,50,0.0,page6-9.svg,0.9333333333333332,high,single-utterance-unidirectional,32,243,"['page1-76.svg', 'page7-197.svg', 'page7-58.svg', 'page5-56.svg', 'page7-71.svg', 'page9-36.svg', 'page6-207.svg', 'page1-55.svg', 'page6-202.svg', 'page6-9.svg']",3,looks like phoenix,15.0,,,,4
G056,ref2_pilot5_binned_threads_16_phase2_3.json,R02630,42,0.0,page6-117.svg,0.962962962962963,high,single-utterance-unidirectional,178,151,"['page7-205.svg', 'page6-117.svg', 'page5-143.svg', 'page4-203.svg', 'page5-86.svg', 'page8-164.svg', 'page6-75.svg', 'page7-88.svg', 'page1-66.svg', 'page2-39.svg']",3,"like an animal facing left, its head downwards. its left most foot is a big triangle, its right foot is a much smaller triangle",25.0,,,,16
G138,ref2_pilot5_binned_threads_13_phase2_3.json,R02840,42,0.0,page1-38.svg,0.8633333333333335,high,single-utterance-unidirectional,170,270,"['page1-178.svg', 'page5-99.svg', 'page7-185.svg', 'page3-8.svg', 'page3-7.svg', 'page1-38.svg', 'page5-106.svg', 'page4-103.svg', 'page4-59.svg', 'page3-207.svg']",3,person with traingle hat,16.0,,,,13
G146,ref2_pilot5_binned_threads_5_phase2_3.json,R01852,41,0.0,page7-125.svg,0.9935185185185184,high,single-utterance-unidirectional,19,227,"['page5-84.svg', 'page7-146.svg', 'page8-41.svg', 'page4-177.svg', 'page7-69.svg', 'page7-15.svg', 'page1-183.svg', 'page6-192.svg', 'page7-241.svg', 'page7-125.svg']",3,wide pillar,18.0,,,,5
G013,ref2_pilot5_binned_threads_0_phase2_3.json,R00370,43,0.0,page2-72.svg,0.9074074074074074,high,single-utterance-unidirectional,147,280,"['page9-23.svg', 'page4-13.svg', 'page9-7.svg', 'page5-155.svg', 'page7-148.svg', 'page2-72.svg', 'page4-25.svg', 'page7-246.svg', 'page6-173.svg', 'page8-213.svg']",3,man in boat,7.0,,,,0
G016,ref2_pilot5_binned_threads_18_phase2_3.json,R04688,30,4.0,page5-134.svg,0.9768518518518516,high,switch-bidirectional,195,144,"['page5-37.svg', 'page5-155.svg', 'page1-116.svg', 'page5-89.svg', 'page7-92.svg', 'page1-59.svg', 'page5-134.svg', 'page4-15.svg', 'page7-41.svg', 'page3-193.svg']",2,['bowtie fangs'],[5],3.0,page5-134.svg,True,18
G008,ref2_pilot5_binned_threads_17_phase2_3.json,R04850,21,3.0,page4-150.svg,0.9888888888888888,high,switch-bidirectional,17,212,"['page6-92.svg', 'page5-58.svg', 'page1-129.svg', 'page8-236.svg', 'page3-187.svg', 'page2-159.svg', 'page8-216.svg', 'page4-150.svg', 'page7-105.svg', 'page2-103.svg']",2,['blocky speech bubble'],[12],2.0,page4-150.svg,True,17
G008,ref2_pilot5_binned_threads_17_phase2_3.json,R03106,28,4.0,page8-216.svg,0.9574074074074076,high,switch-bidirectional,212,17,"['page7-105.svg', 'page2-103.svg', 'page5-58.svg', 'page2-159.svg', 'page4-150.svg', 'page8-216.svg', 'page3-187.svg', 'page1-129.svg', 'page6-92.svg', 'page8-236.svg']",2,['Weird 6'],[5],3.0,page8-216.svg,True,17
G039,ref2_pilot5_binned_threads_8_phase2_3.json,R05942,16,2.0,page5-239.svg,0.9888888888888888,high,switch-bidirectional,260,107,"['page5-168.svg', 'page5-145.svg', 'page2-174.svg', 'page1-14.svg', 'page8-156.svg', 'page7-195.svg', 'page3-187.svg', 'page5-239.svg', 'page7-15.svg', 'page3-26.svg']",2,['a triangle under parallel'],[12],10.0,page5-239.svg,True,8
G014,ref2_pilot5_binned_threads_2_phase2_3.json,R01337,24,3.0,page8-180.svg,0.977777777777778,high,switch-bidirectional,158,217,"['page8-65.svg', 'page4-232.svg', 'page5-80.svg', 'page4-92.svg', 'page2-166.svg', 'page3-120.svg', 'page2-112.svg', 'page7-10.svg', 'page4-25.svg', 'page8-180.svg']",2,['white center diamond'],[7],2.0,page8-180.svg,True,2
G133,ref2_pilot5_binned_threads_12_phase2_3.json,R07245,51,0.0,page1-162.svg,0.9,high,single-utterance-unidirectional,24,177,"['page3-121.svg', 'page7-10.svg', 'page5-57.svg', 'page1-162.svg', 'page7-133.svg', 'page5-28.svg', 'page1-16.svg', 'page7-85.svg', 'page7-86.svg', 'page1-113.svg']",3,hook shake,6.0,,,,12
G069,ref2_pilot5_binned_threads_15_phase2_3.json,R00373,48,0.0,page4-157.svg,0.9642857142857144,high,single-utterance-unidirectional,189,55,"['page1-55.svg', 'page6-94.svg', 'page9-13.svg', 'page8-8.svg', 'page4-157.svg', 'page9-32.svg', 'page6-100.svg', 'page5-57.svg', 'page6-172.svg', 'page6-9.svg']",3,box with triangle top and 2 triangle legs,28.0,,,,15
G131,ref2_pilot5_binned_threads_4_phase2_3.json,R00305,37,0.0,page1-63.svg,0.9703703703703702,high,single-utterance-unidirectional,243,32,"['page3-156.svg', 'page6-165.svg', 'page1-63.svg', 'page6-124.svg', 'page1-148.svg', 'page2-157.svg', 'page3-60.svg', 'page1-112.svg', 'page9-36.svg', 'page5-57.svg']",3,jagged sides pointed top,6.0,,,,4
G013,ref2_pilot5_binned_threads_0_phase2_3.json,R02228,34,0.0,page1-79.svg,0.977777777777778,high,single-utterance-unidirectional,147,280,"['page6-181.svg', 'page1-79.svg', 'page7-148.svg', 'page1-63.svg', 'page3-37.svg', 'page2-65.svg', 'page4-194.svg', 'page7-23.svg', 'page7-102.svg', 'page5-123.svg']",3,Three triangles and long rectangle,15.0,,,,0
G013,ref2_pilot5_binned_threads_0_phase2_3.json,R01405,37,0.0,page3-37.svg,0.9666666666666668,high,single-utterance-unidirectional,280,147,"['page3-37.svg', 'page1-79.svg', 'page7-148.svg', 'page2-65.svg', 'page5-123.svg', 'page4-194.svg', 'page6-181.svg', 'page7-102.svg', 'page7-23.svg', 'page1-63.svg']",3,wine glass upside down,8.0,,,,0
G041,ref2_pilot5_binned_threads_11_phase2_3.json,R02491,27,4.0,page3-56.svg,0.7916666666666666,low,switch-bidirectional,249,1,"['page5-63.svg', 'page3-56.svg', 'page2-157.svg', 'page2-48.svg', 'page6-159.svg', 'page8-199.svg', 'page7-226.svg', 'page3-193.svg', 'page4-203.svg', 'page1-66.svg']",2,['a spade with most of the handle cut off. Digging down. two prongs at bottom'],[32],,,,11
G069,ref2_pilot5_binned_threads_15_phase2_3.json,R05059,8,1.0,page5-122.svg,0.9333333333333332,high,switch-bidirectional,55,189,"['page8-180.svg', 'page4-157.svg', 'page7-44.svg', 'page6-113.svg', 'page4-19.svg', 'page5-122.svg', 'page7-17.svg', 'page8-63.svg', 'page4-247.svg', 'page5-68.svg']",2,['the letter Y with a tall and a triangle on top'],[21],3.0,page8-180.svg,False,15
G146,ref2_pilot5_binned_threads_5_phase2_3.json,R07214,28,4.0,page6-117.svg,0.962962962962963,high,switch-bidirectional,227,19,"['page6-162.svg', 'page6-117.svg', 'page5-235.svg', 'page8-129.svg', 'page1-79.svg', 'page7-69.svg', 'page5-58.svg', 'page4-15.svg', 'page6-176.svg', 'page8-43.svg']",2,['anteater'],[3],2.0,page6-117.svg,True,5
G045,ref2_pilot5_binned_threads_3_phase2_3.json,R07097,27,4.0,page2-64.svg,0.7185185185185186,low,switch-bidirectional,262,122,"['page2-64.svg', 'page4-237.svg', 'page5-81.svg', 'page5-193.svg', 'page7-106.svg', 'page7-244.svg', 'page6-245.svg', 'page3-168.svg', 'page2-189.svg', 'page2-191.svg']",2,['boat'],[5],2.0,page2-64.svg,True,3
G146,ref2_pilot5_binned_threads_5_phase2_3.json,R01278,24,3.0,page8-43.svg,0.9388888888888888,high,switch-bidirectional,19,227,"['page6-176.svg', 'page6-162.svg', 'page5-58.svg', 'page8-43.svg', 'page7-69.svg', 'page1-79.svg', 'page4-15.svg', 'page6-117.svg', 'page5-235.svg', 'page8-129.svg']",2,['slide with flick at the end'],[11],2.0,page8-43.svg,True,5
G008,ref2_pilot5_binned_threads_17_phase2_3.json,R02064,39,0.0,page1-69.svg,0.8592592592592592,high,single-utterance-unidirectional,17,212,"['page8-18.svg', 'page2-105.svg', 'page2-156.svg', 'page7-40.svg', 'page3-187.svg', 'page7-15.svg', 'page1-69.svg', 'page2-145.svg', 'page7-24.svg', 'page7-96.svg']",3,a trophy,10.0,,,,17
G016,ref2_pilot5_binned_threads_18_phase2_3.json,R00082,32,0.0,page7-39.svg,0.861111111111111,high,single-utterance-unidirectional,195,144,"['page1-125.svg', 'page4-135.svg', 'page9-31.svg', 'page7-146.svg', 'page1-38.svg', 'page3-122.svg', 'page1-116.svg', 'page7-39.svg', 'page2-134.svg', 'page8-204.svg']",3,"a boat with a large back and narrow front, small roof",24.0,,,,18
G131,ref2_pilot5_binned_threads_4_phase2_3.json,R00356,48,0.0,page9-36.svg,0.9685185185185186,high,single-utterance-unidirectional,32,243,"['page1-76.svg', 'page7-197.svg', 'page7-58.svg', 'page5-56.svg', 'page7-71.svg', 'page9-36.svg', 'page6-207.svg', 'page1-55.svg', 'page6-202.svg', 'page6-9.svg']",3,swan left,7.0,,,,4
