Unnamed: 0,player_id,is_same_thread,phase2_text,phase2_image,phase3_text,phase3_image,phase2_thread,phase3_thread,image_sim,text_sim
0,192,True,weird 6,page8-216.svg,an unlocked padlock,page7-40.svg,"['page7-40.svg', 'page8-8.svg', 'page8-216.svg']","['page7-40.svg', 'page8-8.svg', 'page8-216.svg']",0.4588412344455719,0.762971818447113
1,192,False,weird 6,page8-216.svg,sign pointing to the right,page2-156.svg,"['page7-40.svg', 'page8-8.svg', 'page8-216.svg']","['page2-156.svg', 'page5-151.svg', 'page2-159.svg']",0.1595743298530578,0.7530142068862915
2,192,True,blocky speech bubble,page4-150.svg,a fat hexagon,page1-133.svg,"['page1-69.svg', 'page1-133.svg', 'page4-150.svg']","['page1-69.svg', 'page1-133.svg', 'page4-150.svg']",0.3802695572376251,0.8144370317459106
3,192,False,blocky speech bubble,page4-150.svg,"looks a bird flying directly downward, slightly asymmetrical",page7-24.svg,"['page1-69.svg', 'page1-133.svg', 'page4-150.svg']","['page7-24.svg', 'page4-242.svg', 'page1-129.svg']",0.1182188615202903,0.7848258018493652
4,192,True,funnel valley,page1-129.svg,"looks a bird flying directly downward, slightly asymmetrical",page7-24.svg,"['page7-24.svg', 'page4-242.svg', 'page1-129.svg']","['page7-24.svg', 'page4-242.svg', 'page1-129.svg']",0.6637969017028809,0.7611989974975586
5,192,False,funnel valley,page1-129.svg,an unlocked padlock,page7-40.svg,"['page7-24.svg', 'page4-242.svg', 'page1-129.svg']","['page7-40.svg', 'page8-8.svg', 'page8-216.svg']",0.0546362102031707,0.7426992058753967
6,192,True,downward drillbit,page2-159.svg,sign pointing to the right,page2-156.svg,"['page2-156.svg', 'page5-151.svg', 'page2-159.svg']","['page2-156.svg', 'page5-151.svg', 'page2-159.svg']",0.5777063965797424,0.7657323479652405
7,192,False,downward drillbit,page2-159.svg,a fat hexagon,page1-133.svg,"['page2-156.svg', 'page5-151.svg', 'page2-159.svg']","['page1-69.svg', 'page1-133.svg', 'page4-150.svg']",0.0624529123306274,0.7537765502929688
8,192,True,downward robot hand,page3-187.svg,downward robot hand,page3-187.svg,"['page3-187.svg', 'page3-187.svg', 'page3-187.svg']","['page3-187.svg', 'page3-187.svg', 'page3-187.svg']",1.0,1.0
9,192,False,downward robot hand,page3-187.svg,an unlocked padlock,page7-40.svg,"['page3-187.svg', 'page3-187.svg', 'page3-187.svg']","['page7-40.svg', 'page8-8.svg', 'page8-216.svg']",0.0581835843622684,0.7521401643753052
10,73,True,downward drill bit,page2-159.svg,downward spear tip,page5-151.svg,"['page2-156.svg', 'page5-151.svg', 'page2-159.svg']","['page2-156.svg', 'page5-151.svg', 'page2-159.svg']",0.5609046816825867,0.887843906879425
11,73,False,downward drill bit,page2-159.svg,downward robot hand,page3-187.svg,"['page2-156.svg', 'page5-151.svg', 'page2-159.svg']","['page3-187.svg', 'page3-187.svg', 'page3-187.svg']",0.2049410939216613,0.8511788249015808
12,73,True,funnel valley,page1-129.svg,a goblet,page4-242.svg,"['page7-24.svg', 'page4-242.svg', 'page1-129.svg']","['page7-24.svg', 'page4-242.svg', 'page1-129.svg']",0.533664345741272,0.7773240804672241
13,73,False,funnel valley,page1-129.svg,a trophy,page1-69.svg,"['page7-24.svg', 'page4-242.svg', 'page1-129.svg']","['page1-69.svg', 'page1-133.svg', 'page4-150.svg']",0.162308394908905,0.7438823580741882
14,73,True,blocky speech bubble,page4-150.svg,a trophy,page1-69.svg,"['page1-69.svg', 'page1-133.svg', 'page4-150.svg']","['page1-69.svg', 'page1-133.svg', 'page4-150.svg']",0.4090783894062042,0.7568007111549377
15,73,False,blocky speech bubble,page4-150.svg,a goblet,page4-242.svg,"['page1-69.svg', 'page1-133.svg', 'page4-150.svg']","['page7-24.svg', 'page4-242.svg', 'page1-129.svg']",0.1786463111639022,0.7884138822555542
16,73,True,weird 6,page8-216.svg,swans head leaning down,page8-8.svg,"['page7-40.svg', 'page8-8.svg', 'page8-216.svg']","['page7-40.svg', 'page8-8.svg', 'page8-216.svg']",0.4433804750442505,0.762107789516449
17,73,False,weird 6,page8-216.svg,downward spear tip,page5-151.svg,"['page7-40.svg', 'page8-8.svg', 'page8-216.svg']","['page2-156.svg', 'page5-151.svg', 'page2-159.svg']",0.2854889631271362,0.7524680495262146
18,73,True,donward robot hand,page3-187.svg,downward robot hand,page3-187.svg,"['page3-187.svg', 'page3-187.svg', 'page3-187.svg']","['page3-187.svg', 'page3-187.svg', 'page3-187.svg']",1.0,0.9220006465911864
19,73,False,donward robot hand,page3-187.svg,downward spear tip,page5-151.svg,"['page3-187.svg', 'page3-187.svg', 'page3-187.svg']","['page2-156.svg', 'page5-151.svg', 'page2-159.svg']",0.0879217535257339,0.7817180156707764
20,233,True,fox facing left,page5-80.svg,chipmunk facing left,page5-85.svg,"['page5-96.svg', 'page5-85.svg', 'page5-80.svg']","['page5-96.svg', 'page5-85.svg', 'page5-80.svg']",0.6392082571983337,0.8862252235412598
21,233,False,fox facing left,page5-80.svg,trophy with triangle handles,page7-10.svg,"['page5-96.svg', 'page5-85.svg', 'page5-80.svg']","['page7-10.svg', 'page7-10.svg', 'page7-10.svg']",-0.0335571579635143,0.7516534328460693
22,233,True,white center diamond,page8-180.svg,white rectangle in black shape,page9-11.svg,"['page9-11.svg', 'page8-8.svg', 'page8-180.svg']","['page9-11.svg', 'page8-8.svg', 'page8-180.svg']",0.4740646779537201,0.8312385678291321
23,233,False,white center diamond,page8-180.svg,chipmunk facing left,page5-85.svg,"['page9-11.svg', 'page8-8.svg', 'page8-180.svg']","['page5-96.svg', 'page5-85.svg', 'page5-80.svg']",0.0501337461173534,0.7548744678497314
24,233,True,trophy with triangle handles,page7-10.svg,trophy with triangle handles,page7-10.svg,"['page7-10.svg', 'page7-10.svg', 'page7-10.svg']","['page7-10.svg', 'page7-10.svg', 'page7-10.svg']",1.0,0.9999986290931702
25,233,False,trophy with triangle handles,page7-10.svg,white rectangle in black shape,page9-11.svg,"['page7-10.svg', 'page7-10.svg', 'page7-10.svg']","['page9-11.svg', 'page8-8.svg', 'page8-180.svg']",-0.0779821723699569,0.788275420665741
26,233,True,entrance to tent,page2-166.svg,leg of an armored knight with foot at bottom facing left,page7-17.svg,"['page7-17.svg', 'page3-124.svg', 'page2-166.svg']","['page7-17.svg', 'page3-124.svg', 'page2-166.svg']",0.3836750388145447,0.7560002207756042
27,233,False,entrance to tent,page2-166.svg,hen facing left,page5-81.svg,"['page7-17.svg', 'page3-124.svg', 'page2-166.svg']","['page5-81.svg', 'page5-87.svg', 'page4-92.svg']",-0.1535705626010894,0.7765679955482483
28,233,True,hen facing right,page4-92.svg,hen facing left,page5-81.svg,"['page5-81.svg', 'page5-87.svg', 'page4-92.svg']","['page5-81.svg', 'page5-87.svg', 'page4-92.svg']",0.8656717538833618,0.97715163230896
29,233,False,hen facing right,page4-92.svg,trophy with triangle handles,page7-10.svg,"['page5-81.svg', 'page5-87.svg', 'page4-92.svg']","['page7-10.svg', 'page7-10.svg', 'page7-10.svg']",0.1171093061566352,0.75978022813797
30,157,True,trophy triangle handles,page7-10.svg,trophy with triangle handles,page7-10.svg,"['page7-10.svg', 'page7-10.svg', 'page7-10.svg']","['page7-10.svg', 'page7-10.svg', 'page7-10.svg']",1.0,0.9652796387672424
31,157,False,trophy triangle handles,page7-10.svg,hen facing left,page5-87.svg,"['page7-10.svg', 'page7-10.svg', 'page7-10.svg']","['page5-81.svg', 'page5-87.svg', 'page4-92.svg']",0.1135325655341148,0.7467522025108337
32,157,True,tent entrance,page2-166.svg,hallway and entrance to door in white,page3-124.svg,"['page7-17.svg', 'page3-124.svg', 'page2-166.svg']","['page7-17.svg', 'page3-124.svg', 'page2-166.svg']",0.3735939562320709,0.8564581274986267
33,157,False,tent entrance,page2-166.svg,hen facing left,page5-87.svg,"['page7-17.svg', 'page3-124.svg', 'page2-166.svg']","['page5-81.svg', 'page5-87.svg', 'page4-92.svg']",-0.0972394496202468,0.7846290469169617
34,157,True,fox facing left,page5-80.svg,fox facing left,page5-96.svg,"['page5-96.svg', 'page5-85.svg', 'page5-80.svg']","['page5-96.svg', 'page5-85.svg', 'page5-80.svg']",0.7526707649230957,1.0
35,157,False,fox facing left,page5-80.svg,trophy with triangle handles,page7-10.svg,"['page5-96.svg', 'page5-85.svg', 'page5-80.svg']","['page7-10.svg', 'page7-10.svg', 'page7-10.svg']",-0.0335571579635143,0.7517030835151672
36,157,True,white diamond middle,page8-180.svg,"it's a snake with a large shape for a head, the body curves from left to right",page8-8.svg,"['page9-11.svg', 'page8-8.svg', 'page8-180.svg']","['page9-11.svg', 'page8-8.svg', 'page8-180.svg']",0.4659090340137481,0.7386646270751953
37,157,False,white diamond middle,page8-180.svg,hen facing left,page5-87.svg,"['page9-11.svg', 'page8-8.svg', 'page8-180.svg']","['page5-81.svg', 'page5-87.svg', 'page4-92.svg']",-0.0875870436429977,0.7472928762435913
38,157,True,hen facing right,page4-92.svg,hen facing left,page5-87.svg,"['page5-81.svg', 'page5-87.svg', 'page4-92.svg']","['page5-81.svg', 'page5-87.svg', 'page4-92.svg']",0.6769879460334778,0.9771223068237304
39,157,False,hen facing right,page4-92.svg,hallway and entrance to door in white,page3-124.svg,"['page5-81.svg', 'page5-87.svg', 'page4-92.svg']","['page7-17.svg', 'page3-124.svg', 'page2-166.svg']",-0.0953679457306861,0.789240837097168
40,191,True,table,page1-125.svg,two triangles facing downwards,page3-8.svg,"['page5-134.svg', 'page3-8.svg', 'page1-125.svg']","['page5-134.svg', 'page3-8.svg', 'page1-125.svg']",0.6411093473434448,0.7582914233207703
41,191,False,table,page1-125.svg,egg cup,page4-103.svg,"['page5-134.svg', 'page3-8.svg', 'page1-125.svg']","['page4-103.svg', 'page4-103.svg', 'page4-103.svg']",-0.0900371894240379,0.7716171741485596
42,191,True,person sat,page8-210.svg,person walking to the left,page3-207.svg,"['page4-16.svg', 'page3-207.svg', 'page8-210.svg']","['page4-16.svg', 'page3-207.svg', 'page8-210.svg']",0.5313445925712585,0.8302507996559143
43,191,False,person sat,page8-210.svg,a diamond with a triangle on top,page1-5.svg,"['page4-16.svg', 'page3-207.svg', 'page8-210.svg']","['page1-5.svg', 'page1-38.svg', 'page5-193.svg']",0.2541902661323547,0.7580885291099548
44,191,True,tree,page5-193.svg,a diamond with a triangle on top,page1-5.svg,"['page1-5.svg', 'page1-38.svg', 'page5-193.svg']","['page1-5.svg', 'page1-38.svg', 'page5-193.svg']",0.6642266511917114,0.7725080847740173
45,191,False,tree,page5-193.svg,two triangles facing downwards,page3-8.svg,"['page1-5.svg', 'page1-38.svg', 'page5-193.svg']","['page5-134.svg', 'page3-8.svg', 'page1-125.svg']",-0.1313386708498001,0.7758426070213318
46,191,True,egg cup,page4-103.svg,egg cup,page4-103.svg,"['page4-103.svg', 'page4-103.svg', 'page4-103.svg']","['page4-103.svg', 'page4-103.svg', 'page4-103.svg']",1.0,0.9999985694885254
47,191,False,egg cup,page4-103.svg,flying object,page9-7.svg,"['page4-103.svg', 'page4-103.svg', 'page4-103.svg']","['page9-7.svg', 'page5-106.svg', 'page5-123.svg']",-0.0937319844961166,0.7860422134399414
48,191,True,flying object,page5-123.svg,flying object,page9-7.svg,"['page9-7.svg', 'page5-106.svg', 'page5-123.svg']","['page9-7.svg', 'page5-106.svg', 'page5-123.svg']",0.6132632493972778,0.9999980330467224
49,191,False,flying object,page5-123.svg,egg cup,page4-103.svg,"['page9-7.svg', 'page5-106.svg', 'page5-123.svg']","['page4-103.svg', 'page4-103.svg', 'page4-103.svg']",-0.0976882651448249,0.7861199975013733
50,241,True,tree,page5-193.svg,person with traingle hat,page1-38.svg,"['page1-5.svg', 'page1-38.svg', 'page5-193.svg']","['page1-5.svg', 'page1-38.svg', 'page5-193.svg']",0.6467573642730713,0.7856284379959106
51,241,False,tree,page5-193.svg,person walking to the left,page4-16.svg,"['page1-5.svg', 'page1-38.svg', 'page5-193.svg']","['page4-16.svg', 'page3-207.svg', 'page8-210.svg']",0.2649007439613342,0.7853700518608093
52,241,True,person pointing to the right,page8-210.svg,person walking to the left,page4-16.svg,"['page4-16.svg', 'page3-207.svg', 'page8-210.svg']","['page4-16.svg', 'page3-207.svg', 'page8-210.svg']",0.540940523147583,0.8829703330993652
53,241,False,person pointing to the right,page8-210.svg,bird in flight,page5-106.svg,"['page4-16.svg', 'page3-207.svg', 'page8-210.svg']","['page9-7.svg', 'page5-106.svg', 'page5-123.svg']",0.0316195599734783,0.8042321801185608
54,241,True,table,page1-125.svg,a table no legs,page5-134.svg,"['page5-134.svg', 'page3-8.svg', 'page1-125.svg']","['page5-134.svg', 'page3-8.svg', 'page1-125.svg']",0.771430492401123,0.8506041169166565
55,241,False,table,page1-125.svg,bird in flight,page5-106.svg,"['page5-134.svg', 'page3-8.svg', 'page1-125.svg']","['page9-7.svg', 'page5-106.svg', 'page5-123.svg']",0.0093742068856954,0.7675966620445251
56,241,True,egg cup,page4-103.svg,egg cup,page4-103.svg,"['page4-103.svg', 'page4-103.svg', 'page4-103.svg']","['page4-103.svg', 'page4-103.svg', 'page4-103.svg']",1.0,0.9999979138374328
57,241,False,egg cup,page4-103.svg,bird in flight,page5-106.svg,"['page4-103.svg', 'page4-103.svg', 'page4-103.svg']","['page9-7.svg', 'page5-106.svg', 'page5-123.svg']",-0.161426842212677,0.805713951587677
58,241,True,flying object,page5-123.svg,bird in flight,page5-106.svg,"['page9-7.svg', 'page5-106.svg', 'page5-123.svg']","['page9-7.svg', 'page5-106.svg', 'page5-123.svg']",0.5660528540611267,0.85663241147995
59,241,False,flying object,page5-123.svg,person walking to the left,page4-16.svg,"['page9-7.svg', 'page5-106.svg', 'page5-123.svg']","['page4-16.svg', 'page3-207.svg', 'page8-210.svg']",0.0374315716326236,0.781079888343811
60,37,True,tongue sticking out,page1-22.svg,an upside down house,page3-188.svg,"['page3-188.svg', 'page2-61.svg', 'page1-22.svg']","['page3-188.svg', 'page2-61.svg', 'page1-22.svg']",0.5085756778717041,0.7819780111312866
61,37,False,tongue sticking out,page1-22.svg,a mountain terrain,page7-15.svg,"['page3-188.svg', 'page2-61.svg', 'page1-22.svg']","['page7-15.svg', 'page5-57.svg', 'page5-58.svg']",-0.0447557978332042,0.7585290670394897
62,37,True,lit candle,page3-99.svg,chevron,page1-51.svg,"['page1-147.svg', 'page1-51.svg', 'page3-99.svg']","['page1-147.svg', 'page1-51.svg', 'page3-99.svg']",0.3752399384975433,0.7760986685752869
63,37,False,lit candle,page3-99.svg,a mountain terrain,page7-15.svg,"['page1-147.svg', 'page1-51.svg', 'page3-99.svg']","['page7-15.svg', 'page5-57.svg', 'page5-58.svg']",0.084980197250843,0.7375825047492981
64,37,True,fox running to left,page5-80.svg,the cat/fox running to left,page5-85.svg,"['page5-96.svg', 'page5-85.svg', 'page5-80.svg']","['page5-96.svg', 'page5-85.svg', 'page5-80.svg']",0.6392082571983337,0.936240553855896
65,37,False,fox running to left,page5-80.svg,an upside down house,page3-188.svg,"['page5-96.svg', 'page5-85.svg', 'page5-80.svg']","['page3-188.svg', 'page2-61.svg', 'page1-22.svg']",0.1285580396652221,0.7838023900985718
66,37,True,speaker with tree on top,page7-59.svg,a teeth shaped thing pointing towards the right,page3-130.svg,"['page3-130.svg', 'page5-165.svg', 'page7-59.svg']","['page3-130.svg', 'page5-165.svg', 'page7-59.svg']",0.4550044536590576,0.7838996052742004
67,37,False,speaker with tree on top,page7-59.svg,a mountain terrain,page7-15.svg,"['page3-130.svg', 'page5-165.svg', 'page7-59.svg']","['page7-15.svg', 'page5-57.svg', 'page5-58.svg']",-0.0645380988717079,0.7931852340698242
68,37,True,terrain with mountains on top,page5-58.svg,a mountain terrain,page7-15.svg,"['page7-15.svg', 'page5-57.svg', 'page5-58.svg']","['page7-15.svg', 'page5-57.svg', 'page5-58.svg']",0.7632442116737366,0.9235973358154296
69,37,False,terrain with mountains on top,page5-58.svg,a teeth shaped thing pointing towards the right,page3-130.svg,"['page7-15.svg', 'page5-57.svg', 'page5-58.svg']","['page3-130.svg', 'page5-165.svg', 'page7-59.svg']",-0.0424785427749156,0.7704495787620544
70,122,True,lit candle,page3-99.svg,a tent,page1-147.svg,"['page1-147.svg', 'page1-51.svg', 'page3-99.svg']","['page1-147.svg', 'page1-51.svg', 'page3-99.svg']",0.4332033097743988,0.7826972007751465
71,122,False,lit candle,page3-99.svg,mountains,page5-57.svg,"['page1-147.svg', 'page1-51.svg', 'page3-99.svg']","['page7-15.svg', 'page5-57.svg', 'page5-58.svg']",0.1422110348939895,0.7435096502304077
72,122,True,fox running left,page5-80.svg,cat/fox running left,page5-96.svg,"['page5-96.svg', 'page5-85.svg', 'page5-80.svg']","['page5-96.svg', 'page5-85.svg', 'page5-80.svg']",0.7526707649230957,0.9306495785713196
73,122,False,fox running left,page5-80.svg,a tent,page1-147.svg,"['page5-96.svg', 'page5-85.svg', 'page5-80.svg']","['page1-147.svg', 'page1-51.svg', 'page3-99.svg']",-0.0323489196598529,0.7567172646522522
