file	column	before	after
data/full_data.csv	description	['hmmmm', 'It looks like a mortar bowl.']	['It looks like a mortar bowl.']
data/full_data.csv	description	['top is an upside down triangle, looks like someone looking to the right sitting down', 'anymore?']	['top is an upside down triangle, looks like someone looking to the right sitting down']
data/full_data.csv	description	['hello', 'looks like a gun kind of', 'pointing to the right']	['looks like a gun kind of', 'pointing to the right']
data/full_data.csv	description	['looks like a chess piece', 'not sure...', 'like a knight chess ?', '2 arrows sticking out its sides']	['looks like a chess piece', 'not sure...', 'like a knight chess', '2 arrows sticking out its sides']
data/full_data.csv	description	['bulky one', 'more info please', 'is there a square on top', 'fat rocket poiting up and left']	['bulky one', 'is there a square on top', 'fat rocket poiting up and left']
data/full_data.csv	description	['hello?', 'Hi. I see a person kneeling down.']	['I see a person kneeling down.']
data/full_data.csv	description	top of a question mark (or top of  hook)	top of a question mark (or top of hook)
data/full_data.csv	description	bird flying upwards, wings spread, pointing triangle  balanced on bottom	bird flying upwards, wings spread, pointing triangle balanced on bottom
data/full_data.csv	description	['hello']	[]
data/full_data.csv	description	man pointing  west	man pointing west
data/full_data.csv	description	['hello is anyone there?']	[]
data/full_data.csv	description	['looks like a stomach', '??', 'like a snake']	['looks like a stomach', 'like a snake']
data/full_data.csv	description	crocadile jaw or beak pointing  to the right	crocadile jaw or beak pointing to the right
data/full_data.csv	description	phallic	
data/full_data.csv	description	['finger pointing (you descriptions are much better than mine haha)']	['finger pointing']
data/full_data.csv	description	Look like microphone  square half way up	Look like microphone square half way up
data/full_data.csv	description	['Hi', 'Looks like a street sign', 'square top with angled lower half']	['Looks like a street sign', 'square top with angled lower half']
data/full_data.csv	description	['?', 'person with their hands up like a prayer almost', 'head down', 'not looking up']	['person with their hands up like a prayer almost', 'head down', 'not looking up']
data/full_data.csv	description	['Lamp, and sorry i mixed them up']	['Lamp']
data/full_data.csv	description	a person standing or a small letter i or a candle take your pick :)	a person standing or a small letter i or a candle take your pick
data/full_data.csv	description	['a stop sign with wave pole', 'sorry about the last one they moved the square', 'no worries']	['a stop sign with wave pole']
data/full_data.csv	description	['/', 'The straight Arrow   btween a hill']	['The straight Arrow btween a hill']
data/full_data.csv	description	['?', 'up arrow between hills']	['up arrow between hills']
data/full_data.csv	description	looks like a table lamp.        traingle base   then a square, then a bigger square,   lamp shade at top	looks like a table lamp. traingle base then a square, then a bigger square, lamp shade at top
data/full_data.csv	description	['bird  ( not the one with wings spread open)']	['bird ( not the one with wings spread open)']
data/full_data.csv	description	['giraffe :)']	['giraffe']
