,block,snd_value,snd_class,sec_until_click,correct,controlled,response,game_id,speaker_desc,speaker_len,listener_desc,listener_len,total_len,chat_len,target
0,0,1.0,high,2,True,False,page9-34.svg,Ey4pCxGb8v6ESQ9uS,"['large lump of black on left with 2 protrusions', 'triangle at very top', 'parallelogram halfway down', 'pointing to the right', 'bottom of shape is a point', 'yes']",27,"['what shape protrusions', 'and which direction are they facing', 'is the tip of the triangle on the top pointing right']",20,47,9,page9-34.svg
1,0,0.985185185185185,high,1,False,True,page3-99.svg,Toh9L3sPeXKpvY4Rz,"['looks like a man wearing a graduation hat and big wide shoulders', 'sorry v hard to describe this one', 'yeah', 'batman vibes too’ ‘its wide']",25,"['a man', 'is it the one that has a diamond shape at the top', 'not sure which one']",18,43,7,page1-129.svg
2,0,0.761111111111111,low,10,False,False,page2-24.svg,WYGLaqqjz2oKmegF5,"['looks like a bird on a perch', 'a triangle perch', 'birds head is triangular', 'no', 'wings are triangular', 'yes a triangle shape', 'looks like an m at the botton', 'bottom']",30,"['3 triangles pointing left', 'shape at the bottom']",8,38,10,page7-10.svg
3,1,0.981481481481482,high,9,False,True,page4-233.svg,vjTTSvQWvJTA9TZiu,"['looks like a smaller upside down triangle on top of two pairs of sideways triangls', 'with a base', 'sort of like a suction device but upside down', 'this one is tough to describe', 'flat top and flat bottom', 'yes']",39,"['Is the triangle shape on top', 'The upside down one']",10,49,8,page3-38.svg
4,0,1.0,high,20,False,True,page3-206.svg,7aSBLC67wzDw4kuC6,"['Looks like a water fountain with one leg only', 'Thin middle', 'with diamond top', 'triangle top', 'triangle middle', 'thin joining section']",21,['Square shaped'],2,23,7,page1-150.svg
5,0,0.988888888888889,high,1,False,False,page8-247.svg,AJeR4M8XggMLd6gDT,"['it looks like an egyptian pharoah', 'it ooks like the thing they would sit on their head', 'like king tut', 'it has a white rectangle inside', 'and black trapezoid on the top']",32,"['There are two that fit the description', 'is it the one that has handlike']",14,46,7,page3-124.svg
6,4,0.6,low,2,True,True,page7-73.svg,AJeR4M8XggMLd6gDT,"['New one it looks like an animal with no feet It has a face pointing right with ears', 'triangular head with a trapezoid ear', 'its fat', 'it looks like a rabbit in my opinion', 'its just a large round object but it has a triangle head and a trapezoid sticking up like ears']",53,"['does it look like a whale', 'or a dog sitting']",10,63,7,page7-73.svg
7,0,0.977777777777778,high,2,True,False,page5-198.svg,5zavZ7Wzuj8LSHeSM,"['A rhino head', 'Or a dinosaur head', 'big solid and black', 'no', 'yep']",13,"['Can you describe more', 'Is it symetrical', 'The points at the top', 'Three']",13,26,9,page5-198.svg
8,0,0.927777777777778,high,8,True,False,page2-24.svg,WYGLaqqjz2oKmegF5,"['looks like a guy lying on his side', 'has small arms', 'no', 'squarish head', 'top right']",16,"['tiangle on top', 'square on top']",6,22,7,page2-24.svg
9,0,0.903703703703704,high,4,False,False,page1-150.svg,7aSBLC67wzDw4kuC6,"['A two legged pan shape', 'Facing downward like a big arrow', 'Yes']",12,['Does it look like a water fountain'],7,19,4,page5-0.svg
10,0,1.0,high,16,True,False,page6-245.svg,7aSBLC67wzDw4kuC6,"['Looks like a donkey', 'Facing right', 'No', 'No', 'Has a slightly arrow at the bottom']",15,"['Kicking', 'Two heads']",3,18,7,page6-245.svg
11,2,0.988888888888889,high,5,True,False,page7-105.svg,WYGLaqqjz2oKmegF5,"['square in middle', 'nah', 'white m shape underneath', 'small black square right in the middle', 'yeah']",16,"['white square', 'two triangles either side']",6,22,7,page7-105.svg
12,0,0.953703703703704,high,3,True,False,page6-205.svg,J3bJDAy4wJYb5e5NE,"['i shape', 'has 2 ears', 'has nose', 'facing right', 'no base']",11,['is the base flat'],4,15,6,page6-205.svg
13,1,0.941666666666667,high,4,False,True,page3-23.svg,jtAxitc55Avdzyx7C,"['looks like armour with two houses sticking out and middle is a bigger house', 'big house with two things sticking out', 'at the top', 'looks like squares abit', 'pentagon shapehouse']",30,['more info'],2,32,6,page4-169.svg
14,2,0.777619047619048,low,8,True,False,page6-23.svg,Zs2cbSHmvytSeDxbp,"['person praying head down', 'flat bottom', 'person', 'praying', 'head looks pointing down']",12,['point left'],2,14,6,page6-23.svg
15,2,0.977777777777778,high,15,True,False,page7-30.svg,RioKfCbKjZsCqiEW4,"['Zigzag facing left with smonth back', 'yes', 'no', 'slant bottom']",10,"['what do  you mean by zig zag', 'is it a shape or a person']",15,25,6,page7-30.svg
16,0,0.965277777777778,high,3,True,False,page3-193.svg,t4yc5Zp2TSPejKwW8,"['a symetrical object vertically facing', 'no', 'no', 'sorry yes']",9,"['is there a square on top', 'a diamond']",8,17,6,page3-193.svg
17,0,0.955555555555556,high,10,True,False,page2-187.svg,7aSBLC67wzDw4kuC6,"['Looks like a poll', 'One leg', 'Leg facing left', 'No', 'Looks like a cone']",14,['Square top'],2,16,6,page2-187.svg
18,1,0.933333333333333,high,6,True,True,page5-87.svg,rMgoeNprYSWQMKzwi,"['looks like a duck that is facing left', 'with 2 feet on the left as well', 'no', 'triangle type head', 'facing left']",22,['Square head'],2,24,6,page5-87.svg
19,1,0.840740740740741,low,2,False,False,page5-174.svg,7aSBLC67wzDw4kuC6,"['Person with leg pointing to the left with a diamond shaped head', 'Person with leg pointing to the left with a diamon shaped head', 'yes', 'Pointed left leg']",28,['Pointed leg'],2,30,5,page4-16.svg
20,1,0.903703703703704,high,5,True,False,page5-0.svg,7aSBLC67wzDw4kuC6,"['Looks like a pan with two legs', 'upside down rocket ship', 'two legs with arrow down', 'yes']",17,['Arrow pointed down'],3,20,5,page5-0.svg
21,0,1.0,high,4,True,False,page3-59.svg,Zs2cbSHmvytSeDxbp,"['knife blade', 'pointing down', 'thick', 'not the thin one', 'yes']",10,['flat top'],2,12,6,page3-59.svg
22,2,0.992592592592593,high,9,True,False,page3-128.svg,Zs2cbSHmvytSeDxbp,"['upside down cat but the one that is long', 'flat top', 'pointy on bottom', 'like a cats head', 'but flat top']",21,['more'],1,22,6,page3-128.svg
23,1,1.0,high,2,False,False,page6-158.svg,7c2XQwFP7pYAuQRhh,"['lol it doesnt look like anything  there is a white space in the lower left corner that would look like a white square', 'hm', 'it has two peaks pointing downwards', 'like the letter W']",35,[''],1,36,5,page7-29.svg
24,1,0.957407407407407,high,4,True,False,page9-27.svg,RC9AkCbhNcvT76Wm9,"['a goblet with a base of a triangle', 'if we need more time just talk', 'sorry it opens up with a large top', 'not the diamond']",26,"['which one', 'the previous one or the diamond']",8,34,6,page9-27.svg
25,1,0.533333333333333,low,5,True,True,page6-31.svg,XSQXte7Rd8L9hwyFc,"['diagonal image like a face with a crown on top', 'small 3 point crown on top of diagonal image', 'Base is a triangle with  a trapezoid on top', 'then the small three point crown']",35,"['do you mean the ghost with tail pointing right', 'perfect crown with tail going right bottom right']",17,52,6,page6-31.svg
26,3,0.961111111111111,high,2,True,False,page2-157.svg,vANJagD7tYryezsfj,"['a crooked thing pointing north', 'no like a spear']",9,['does it look like a christmas tree with the top right cut off'],13,22,3,page2-157.svg
27,1,0.559259259259259,low,4,True,True,page6-160.svg,Ey4pCxGb8v6ESQ9uS,"['looks like a person on their side', 'cube all the way on the left', 'no', 'cube all the way on the left is only connected to one point']",28,"['sitting down', 'ahh fishy one']",5,33,6,page6-160.svg
28,4,1.0,high,4,True,True,page6-162.svg,RioKfCbKjZsCqiEW4,"['triangle with a large pen on top', 'or upside down house on top', 'thanks', 'same to you']",17,[''],1,18,5,page6-162.svg
29,1,0.672222222222222,low,26,True,False,page5-174.svg,7aSBLC67wzDw4kuC6,"['Kicking to the right with one leg on the ground', 'Square head', 'reset', 'Person facing to the right with one leg up and one leg down with a square head']",30,['Pointed leg'],2,32,5,page5-174.svg
30,1,0.937037037037037,high,6,True,False,page3-198.svg,pSYzHChWFeCNcu2Bv,"['it looks like a person with a plate facing down', 'could also be praying', 'no', 'theres no feet']",18,['Does he have a triangle for feet'],7,25,5,page3-198.svg
31,1,0.922222222222222,high,1,True,True,page7-172.svg,GvKqmzaRNpoDLRkWv,"['looks like like some fast animal moving to the left', 'right', 'exuse me', 'kinda like a bird flying', 'towards the right']",21,[''],1,22,6,page7-172.svg
32,4,0.987037037037037,high,3,True,False,page4-220.svg,gkyryXHaobauRizin,"['j', 'j', 'j', 'j', 'J']",5,[''],1,6,6,page4-220.svg
