key,pair0_image_sim,pair1_image_sim,gt,eq,lt,human_judgement,pair0_phase2_image,pair0_phase3_image,pair1_phase2_image,pair1_phase3_image,sim_diff
0159Ln22WPEDI8nEbt7l,0.6807140707969666,0.7171453833580017,1,1,0,,page5-81.svg,page5-87.svg,page6-173.svg,page6-179.svg,-0.036431312561035156
02Ln2zl8Z8DuiomLQqto,0.1555606126785278,0.3437552750110626,0,0,2,-1.0,page1-113.svg,page2-54.svg,page9-34.svg,page6-52.svg,-0.18819466233253482
0AJ8c9Wv3TMlEAL0Y5UX,0.5155487656593323,0.2541902661323547,0,2,0,0.0,page7-226.svg,page2-156.svg,page8-210.svg,page1-5.svg,0.2613584995269776
0ASW1S3c95wlOdwwqBNB,-0.1371914595365524,0.5455458760261536,0,1,1,,page1-114.svg,page6-50.svg,page5-0.svg,page5-11.svg,-0.682737335562706
0BuuhKaNszCFSAEhj7c9,0.650016188621521,-0.2004206031560897,2,0,0,1.0,page7-86.svg,page7-224.svg,page7-169.svg,page6-22.svg,0.8504367917776107
0CA5uyi007ki7J1vUT9q,0.1911780834197998,-0.0835658386349678,0,2,0,0.0,page5-58.svg,page6-100.svg,page2-79.svg,page7-224.svg,0.2747439220547676
0GLTfxXqtz2v7AsarZTS,0.4646825790405273,-0.2086246907711029,2,0,0,1.0,page2-42.svg,page9-20.svg,page3-101.svg,page4-142.svg,0.6733072698116302
0Gah9GPf3hTFq7F11kzQ,-0.0154233975335955,0.5478112697601318,0,1,1,,page5-18.svg,page7-70.svg,page2-155.svg,page7-236.svg,-0.5632346672937273
0IlKPB7div8E38UYeOaf,0.5416019558906555,-0.0116322645917534,2,0,0,1.0,page7-135.svg,page8-165.svg,page1-185.svg,page6-52.svg,0.5532342204824089
0M67KhpGIRsy3GEQvvoZ,0.6831782460212708,0.1036636903882026,2,0,0,1.0,page8-58.svg,page8-143.svg,page5-58.svg,page3-135.svg,0.5795145556330682
0SXL7TcjS9WwEGuO4qkM,0.0066875829361379,0.4496077001094818,0,0,2,-1.0,page7-13.svg,page9-41.svg,page2-106.svg,page1-125.svg,-0.4429201171733439
0US6QJcUjiBLdnSvTkJK,0.4720865786075592,-0.1467744559049606,2,0,0,1.0,page2-47.svg,page7-41.svg,page8-235.svg,page7-32.svg,0.6188610345125198
0VnDriPJR5QrfcyBGA7W,0.6019206047058105,0.5576910972595215,2,0,0,1.0,page4-142.svg,page5-95.svg,page3-124.svg,page2-17.svg,0.04422950744628906
0XFuPUwPdd4ILQibiWaZ,1.0,0.1158024445176124,2,0,0,1.0,page7-216.svg,page7-216.svg,page2-166.svg,page2-54.svg,0.8841975554823875
0aILlMzSMtPqZ4dtx0FR,0.7187355756759644,0.0319210551679134,2,0,0,1.0,page6-171.svg,page6-172.svg,page8-118.svg,page8-165.svg,0.6868145205080509
0eNE1yUgoTZitqwMu9HJ,0.1352421194314956,0.3852368891239166,0,0,2,-1.0,page7-10.svg,page1-85.svg,page1-73.svg,page3-37.svg,-0.24999476969242101
0keMl5NP5yEO7QJTCbGz,-0.0210812259465456,-0.150430366396904,0,2,0,0.0,page5-81.svg,page7-17.svg,page5-229.svg,page7-241.svg,0.1293491404503584
0ki015hMdzgFApngK40G,0.4701936542987823,0.0001481255458202,2,0,0,1.0,page4-248.svg,page1-30.svg,page1-116.svg,page1-125.svg,0.47004552875296207
0mMgajndo7rN8mEBS54u,0.0483322814106941,0.4080944657325744,0,2,0,0.0,page7-18.svg,page7-145.svg,page7-109.svg,page7-107.svg,-0.3597621843218803
0ongSQVmjBw0dA2MiBma,-0.0041318549774587,0.7666731476783752,0,0,2,-1.0,page7-149.svg,page9-11.svg,page1-148.svg,page5-122.svg,-0.770805002655834
0pU3IWb5xLX5NsqHGYCh,0.4156950414180755,0.3852368891239166,0,1,1,,page6-219.svg,page6-163.svg,page1-73.svg,page3-37.svg,0.03045815229415888
0rmLOp3Um4FWdCdMHhHC,1.0,0.7119881510734558,2,0,0,1.0,page7-185.svg,page7-185.svg,page2-54.svg,page1-76.svg,0.2880118489265442
0xTTfP3nrjo5curB7glc,0.7788749933242798,1.0,0,1,1,,page4-177.svg,page2-155.svg,page7-22.svg,page7-22.svg,-0.22112500667572021
0xjqEeAdtsLk2HyFc5tT,0.771430492401123,0.3801548779010772,1,1,0,,page5-134.svg,page1-125.svg,page4-169.svg,page5-162.svg,0.39127561450004583
13uhu2cxCgAFkHN3wS4s,0.7378087639808655,0.3579007983207702,1,0,1,,page7-39.svg,page7-41.svg,page6-162.svg,page7-241.svg,0.37990796566009527
1BSg9r315uBGOB4pwgNA,0.1167917922139167,-0.1811706721782684,0,1,1,,page6-73.svg,page6-196.svg,page5-188.svg,page7-41.svg,0.2979624643921851
1EbEo6vr0pUGbDgk8wGm,0.1601952910423278,-0.1517501026391983,1,1,0,,page6-92.svg,page1-148.svg,page6-177.svg,page3-8.svg,0.3119453936815261
1FOXvlrTIEy5KkmvGkzK,0.5979276299476624,-0.0006306958966888,1,0,1,,page7-105.svg,page1-49.svg,page5-178.svg,page7-22.svg,0.5985583258443512
1HEooTbKGX38KGH8tH87,0.1158184483647346,0.1976984590291977,0,2,0,0.0,page6-173.svg,page2-166.svg,page5-220.svg,page7-245.svg,-0.0818800106644631
1KINaPfSMxtGyRb5UiVz,0.7171453833580017,0.215858519077301,2,0,0,1.0,page6-173.svg,page6-179.svg,page4-19.svg,page8-246.svg,0.5012868642807007
1PSj3ESKeHSQRj3OMvDn,0.3836750388145447,0.3802695572376251,1,1,0,,page7-17.svg,page2-166.svg,page4-150.svg,page1-133.svg,0.0034054815769195557
1QUiKIZSl1oZmX0JA45t,0.4134330451488495,-0.1741865128278732,1,1,0,,page3-29.svg,page7-133.svg,page7-17.svg,page5-57.svg,0.5876195579767227
1a1TA49GYZ8rlEZIWE6y,0.7143585681915283,0.3974091112613678,1,1,0,,page5-134.svg,page3-8.svg,page5-18.svg,page1-0.svg,0.3169494569301605
1dD5r7ZRfUpxFMtiANwO,0.7932477593421936,-0.0840477794408798,2,0,0,1.0,page6-155.svg,page6-83.svg,page6-99.svg,page3-145.svg,0.8772955387830734
1toIg0BC587enDpa2fTH,0.3987811207771301,-0.1887464821338653,2,0,0,1.0,page5-188.svg,page1-47.svg,page7-22.svg,page9-25.svg,0.5875276029109955
1woo77vCw8z8Zv299vwS,0.436243325471878,0.7010802626609802,0,1,1,,page-B.svg,page-G.svg,page1-122.svg,page4-244.svg,-0.26483693718910223
1xRBMgBqAPrGPDjaMqhd,0.3474637567996979,0.0113907735794782,1,1,0,,page7-234.svg,page1-85.svg,page3-120.svg,page5-99.svg,0.33607298322021967
1xc7gCnct9B8UQuNyqNT,0.3919314444065094,0.771430492401123,0,0,2,-1.0,page9-34.svg,page7-46.svg,page5-134.svg,page1-125.svg,-0.37949904799461365
