phase,similarity,pair-id,game,tangrams,is_control,bin,p1_description,p2_description,tangram1_snd,tangram2_snd,interactive_phase_tangram,interactive_phase_snd,thread_avg_snd,tangram_A,tangram_B,context_id,thread_id,sim_A_interactive,sim_B_interactive,avg_sim_AB_interactive,jaccard_index,prepost_avg_snd
pre,0.7701020240783691,0,tb5z6t6rfTDKhnJ3p,"['page2-21.svg', 'page7-10.svg']",False,4,trophy look,hawk wing spread,0.9907407407407408,0.7611111111111111,page2-20,1.0,0.917283950617284,page2-21,page7-10,12,4,0.5957609415054321,0.5058064460754395,0.5507836937904358,0.0,0.875925925925926
post,0.7920841574668884,0,tb5z6t6rfTDKhnJ3p,"['page2-21.svg', 'page7-10.svg']",False,4,w shape,bird fly upwards wing spread point triangle  balance,0.9907407407407408,0.7611111111111111,page2-20,1.0,0.917283950617284,page2-21,page7-10,12,4,0.5957609415054321,0.5058064460754395,0.5507836937904358,0.0,0.875925925925926
pre,0.9999961853027344,1,tb5z6t6rfTDKhnJ3p,"['page1-16.svg', 'page1-16.svg']",False,9,triangle,triangle,0.9555555555555556,0.9555555555555556,page1-16,0.9555555555555556,0.9555555555555556,page1-16,page1-16,12,9,0.9999998807907104,0.9999998807907104,0.9999998807907104,1.0,0.9555555555555556
post,1.0,1,tb5z6t6rfTDKhnJ3p,"['page1-16.svg', 'page1-16.svg']",False,9,triangle,triangle,0.9555555555555556,0.9555555555555556,page1-16,0.9555555555555556,0.9555555555555556,page1-16,page1-16,12,9,0.9999998807907104,0.9999998807907104,0.9999998807907104,1.0,0.9555555555555556
pre,0.7844204902648926,2,tb5z6t6rfTDKhnJ3p,"['page7-107.svg', 'page7-133.svg']",True,1,triangle wing,large rock sharp rigth edge,0.9935185185185184,0.8444444444444444,page7-109,0.9907407407407408,0.9429012345679012,page7-107,page7-133,12,7,0.4080943763256073,0.3532750606536865,0.3806847184896469,0.0,0.9189814814814814
post,0.7501072287559509,2,tb5z6t6rfTDKhnJ3p,"['page7-107.svg', 'page7-133.svg']",True,1,white diamond middle,corner pipe,0.9935185185185184,0.8444444444444444,page7-109,0.9907407407407408,0.9429012345679012,page7-107,page7-133,12,7,0.4080943763256073,0.3532750606536865,0.3806847184896469,0.0,0.9189814814814814
pre,0.7634385824203491,3,tb5z6t6rfTDKhnJ3p,"['page7-23.svg', 'page1-162.svg']",True,2,question mark,hook,0.888888888888889,0.9,page4-176,0.888888888888889,0.8925925925925927,page7-23,page1-162,12,6,0.4695841372013092,0.4575203061103821,0.4635522216558456,0.0,0.8944444444444445
post,0.7535774111747742,3,tb5z6t6rfTDKhnJ3p,"['page7-23.svg', 'page1-162.svg']",True,2,question mark shape,hook shake,0.888888888888889,0.9,page4-176,0.888888888888889,0.8925925925925927,page7-23,page1-162,12,6,0.4695841372013092,0.4575203061103821,0.4635522216558456,0.0,0.8944444444444445
pre,0.7435129880905151,4,tb5z6t6rfTDKhnJ3p,"['page6-105.svg', 'page3-121.svg']",True,5,traingle wing diamond shape body single triangle foot,hairline boy,0.9666666666666666,0.9444444444444444,page5-198,0.977777777777778,0.9629629629629628,page6-105,page3-121,12,3,0.62864750623703,0.5057438611984253,0.5671956837177277,0.0,0.9555555555555555
post,0.7733786106109619,4,tb5z6t6rfTDKhnJ3p,"['page6-105.svg', 'page3-121.svg']",True,5,baby look leg arm air,bird fish face right flat right edge,0.9666666666666666,0.9444444444444444,page5-198,0.977777777777778,0.9629629629629628,page6-105,page3-121,12,3,0.62864750623703,0.5057438611984253,0.5671956837177277,0.0,0.9555555555555555
pre,0.7342334389686584,5,tb5z6t6rfTDKhnJ3p,"['page2-156.svg', 'page5-28.svg']",True,6,traingle wing diamond shape body single triangle foot,rectangle extra right bit,0.977777777777778,0.977777777777778,page3-40,0.9851851851851852,0.9802469135802472,page2-156,page5-28,12,2,0.681484580039978,0.680435836315155,0.6809602081775665,0.0,0.977777777777778
post,0.7305275797843933,5,tb5z6t6rfTDKhnJ3p,"['page2-156.svg', 'page5-28.svg']",True,6,usb stick,rectangle cctv look,0.977777777777778,0.977777777777778,page3-40,0.9851851851851852,0.9802469135802472,page2-156,page5-28,12,2,0.681484580039978,0.680435836315155,0.6809602081775665,0.0,0.977777777777778
pre,0.7580910325050354,6,tb5z6t6rfTDKhnJ3p,"['page3-198.svg', 'page7-86.svg']",False,7,traingle wing diamond shape body single triangle foot,person sit face right,0.937037037037037,0.9333333333333332,page4-11,0.738888888888889,0.869753086419753,page3-198,page7-86,12,1,0.7454822659492493,0.7172858715057373,0.7313840687274933,0.0,0.9351851851851851
