key,tangram_A,tangram_B,ori_pre,ori_post,controlled_thread,ada_pre_sim,ada_post_sim,clip_pre_sim,clip_post_sim,sbert_pre_sim,sbert_post_sim,pre_sim,post_sim,gt,eq,lt,human_judgement,ada_diff,clip_diff,sbert_diff
tb5z6t6rfTDKhnJ3p-page2-21-page7-10,page2-21.svg,page7-10.svg,"trophy looking | hawk, with wings spread","w shaped | bird flying upwards, wings spread, pointing triangle  balanced on bottom",False,0.8133172392845154,0.7805536985397339,0.06906671077013016,0.07499156892299652,0.2165406048297882,0.2779836356639862,0.7701020240783691,0.7920841574668884,1.0,0.0,0.0,1.0,0.032763540744781494,-0.0059248581528663635,-0.061443030834198
tb5z6t6rfTDKhnJ3p-page1-16-page1-16,page1-16.svg,page1-16.svg,triangle | triangles,triangle | triangle,False,0.8934652805328369,1.0,0.8140379190444946,1.0,0.9123525023460388,1.0,0.9999961853027344,1.0,0.0,1.0,0.0,0.0,-0.10653471946716309,-0.18596208095550537,-0.08764749765396118
tb5z6t6rfTDKhnJ3p-page7-107-page7-133,page7-107.svg,page7-133.svg,two triangles for wings | large rock with sharp rigth edge,white diamond in middle | the corner of a pipe,True,0.7755182981491089,0.7573398947715759,0.3148702383041382,0.06490865349769592,0.15697763860225677,0.17325058579444885,0.7844204902648926,0.7501072287559509,0.0,1.0,0.0,0.0,0.01817840337753296,0.24996158480644226,-0.016272947192192078
tb5z6t6rfTDKhnJ3p-page7-23-page1-162,page7-23.svg,page1-162.svg,question mark | hook,question mark shape | hook shake,True,0.7633332014083862,0.7536424994468689,0.40202072262763977,0.32611778378486633,0.2140384316444397,0.11823127418756485,0.7634385824203491,0.7535774111747742,0.0,1.0,0.0,0.0,0.009690701961517334,0.07590293884277344,0.09580715745687485
tb5z6t6rfTDKhnJ3p-page6-105-page3-121,page6-105.svg,page3-121.svg,"traingles for wings, diamond shaped body, single triangle for feet | hairline of a boy","baby looking up with legs and arms in air | bird/fish facing right, flat right edge",True,0.7663979530334473,0.7927544713020325,0.09250003099441528,0.19001665711402893,0.1467658132314682,0.15635816752910614,0.7435129880905151,0.7733786106109619,0.0,1.0,0.0,0.0,-0.026356518268585205,-0.09751662611961365,-0.00959235429763794
tb5z6t6rfTDKhnJ3p-page2-156-page5-28,page2-156.svg,page5-28.svg,"traingles for wings, diamond shaped body, single triangle for feet | rectangle with extra right bit","usb stick | rectangle, cctv looking",True,0.7382582426071167,0.7362830638885498,0.36970198154449463,0.2084224820137024,0.15850120782852173,0.12234696745872498,0.7342334389686584,0.7305275797843933,1.0,0.0,0.0,1.0,0.0019751787185668945,0.16127949953079224,0.03615424036979675
tb5z6t6rfTDKhnJ3p-page3-198-page7-86,page3-198.svg,page7-86.svg,"traingles for wings, diamond shaped body, single triangle for feet | person sitting facing right",person holding a box looking left | person praying,False,0.7504684329032898,0.8073018789291382,0.06282900273799896,0.29326677322387695,0.08375104516744614,0.2265244871377945,0.7580910325050354,0.7996293306350708,0.0,0.0,1.0,-1.0,-0.05683344602584839,-0.230437770485878,-0.14277344197034836
tb5z6t6rfTDKhnJ3p-page7-15-page5-57,page7-15.svg,page5-57.svg,"traingles for wings, diamond shaped body, single triangle for feet | mountain range","long and thin, two points on each side | long saw shape",True,0.7465884685516357,0.8279934525489807,0.2543672025203705,0.3703177571296692,0.17866569757461548,0.45932018756866455,0.7501452565193176,0.8392388820648193,0.0,1.0,0.0,0.0,-0.08140498399734497,-0.1159505546092987,-0.2806544899940491
tb5z6t6rfTDKhnJ3p-page4-233-page1-113,page4-233.svg,page1-113.svg,large bowl | two triangles connected at the points,large bowl with only one edge showing | fully shaped bowl,False,0.744545042514801,0.9015178084373474,0.13362596929073334,0.8062793612480164,-0.0041490113362669945,0.6457240581512451,0.749131441116333,0.888362467288971,0.0,0.0,1.0,-1.0,-0.1569727659225464,-0.672653391957283,-0.6498730694875121
tb5z6t6rfTDKhnJ3p-page1-5-page7-85,page1-5.svg,page7-85.svg,"arrow pointing up | two triangles pointing in opposite directions, one triangle pointing up in the middle","a utt plug or arrow pointing up | mountain with 1 large peak in middle, 2 smaller ones on each side",False,0.8606639504432678,0.773736298084259,0.5322210788726807,0.1253747195005417,0.4227602779865265,0.034876927733421326,0.860970675945282,0.7581009268760681,1.0,0.0,0.0,1.0,0.08692765235900879,0.406846359372139,0.38788335025310516
